Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
ORR1C2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.20E-16	1	2.11E-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1D1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.21E-104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1D2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.44E-09	1	1	1	1	1	1	1	0.654888572	1	1	1	1	1	1
CT-rich	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.24E-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.73E-27	1	1	1	1	1	1	1	1	1
GA-rich	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.49E-19	1	1	1	1	1	1	1	1	0.298413267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.26E-09	1	1	1	1	1	1	1	1	1
GC_rich	1	1	1	1	6.77E-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(ACTG)n	1	1	1	1	1	1	1	1.93E-07	1	0.989442136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(CACAG)n	1	1	1	1	1	1	1	1	1	0.017943898	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.51E-46	1	6.29E-08	1	1	1	1	1	1	1	1	1	1	1	1
(CAG)n	1	1	1	1	1	6.49E-05	1	1	1	1	1	1	1	1.72E-26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.37103569	1	1	1	1	1	1	1	1	1	1	1
(CAGAG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.299811676	1	9.09E-20	0.218185886	1	1	1	1	1	1	1	1	1	1	1
(CAGG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.38E-19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.066876399	1	1	1.58E-24	1	1	1	1	1	1	1	1	1
(CAGT)n	1	1	1	1	1	1	1	6.19E-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(CATTC)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.058746688	1	1	1	1	1	1	1	1	1	1	1	1.90E-06	1	1	1	1	1.03E-06	1	1	1	1	1	0.169223393	1	1	1	1	1	1	1	1	1
(CCG)n	1	1	1	1	3.37E-34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.106161299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(CCTG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.30E-33	1	1	1	1	1	1	0.218185886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.33E-43	1	1	1	1	1	1	1	1	1
(CGG)n	1	1	1	1	1.38E-24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.096941755	1	1	1	1	1	1	1	1	1	1	1	1	0.048973494	1	1	1	1	1	1	1	1	1
(CTCTG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.16E-19	1	1	1	1	1	1	1	1	1	1	1	1
(CTG)n	1	1	1	1	1	0.143036474	1	1	1	1	1	1	1	1.58E-53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(CTGTG)n	1	1	1	1	1	1	1	1	1	0.023286039	1	1	1	1	1	1	1	1	1	1	1	1	0.000247418	1	1	1	1	1	1	1	1	1	1	1	6.54E-66	1	2.15E-10	1	1	1	1	1	1	1	1	1	1	1	1
(GGA)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.79E-09	1	1	1	1	1	1	1	1	1	1	0.035947996	1	1	1	1	1	1	1	1	1	1	1
(TCC)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.78E-06	1	1	1	1	1	1	1	1	1	1	8.02E-10	1	1	1	1	1	1	1	1	1	1	1
(TCTCTG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.71E-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.124818626	1	1	1	1	1	1	1	1	1
TSS	1	1	1	0.067870958	0	2.03E-33	0.38908354	1	3.96E-14	1	1	9.45E-69	5.02E-12	0.545369592	1	1	1	1	1	7.11E-22	1	1.29E-20	0.03038875	2.37E-07	1	1	2.78E-125	0.01531269	1	0.000195382	1	1.21E-23	1	1	5.51E-76	1.60E-16	0.000825501	1	1	3.01E-54	4.46E-06	1	1	1	4.70E-05	1	1	1	1.31E-22
